sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,m_type2_onset_time,dh_type2_onset_time,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end
gsep_029,psep_039,,1989-05-02 16:50:00,,,,,,,,,,,,1989-05-02 16:04:00,1989-05-02 16:35:00,31,-38,27,M1.4,5470,FALSE,,,3.13,,,,364000,,,,3.01,1989-05-02 18:20:00,,,0,P,,,,AR from LMSAL,1989-05-02 04:50:00,1989-05-03 16:50:00
gsep_030,psep_040,,1989-05-05 08:35:00,,,,,,,,,,,,1989-05-04 11:06:00,1989-05-04 11:31:00,25,36,-20,M5.4,5464,FALSE,,27,9.78,,,,349000,,,,9.66,1989-05-05 10:40:00,,,1,P,,,,AR from LMSAL,1989-05-04 20:35:00,1989-05-05 20:15:00
gsep_031,psep_041,,1989-05-06 01:20:00,,,,,,,,,,,,1989-05-05 07:23:00,1989-05-05 07:39:00,16,-1,30,X2.4,5470,FALSE,,110,41.15,,,,987000,,,,47.3,1989-05-06 10:55:00,,,1,P,,,,AR from LMSAL,1989-05-05 13:20:00,1989-05-06 22:20:00
gsep_032,psep_042,,1989-05-07 02:20:00,,,,,,,,,,,,1989-05-06 16:55:00,1989-05-06 17:02:00,7,-59,31,M4.2,5476,FALSE,,,18.29,,,,1390000,,,,17.5,1989-05-07 13:50:00,,,0,P,Very complex ,,,AR from LMSAL; Data corrected for spike,1989-05-06 14:20:00,1989-05-08 03:20:00
gsep_033,psep_043,,1989-05-22 18:30:00,,,,,,,,,,,,1989-05-22 00:02:00,1989-05-22 00:24:00,22,-16,-21,M5.7,5497,FALSE,,15,25.97,1.27,0.63,0.35,1940000,429000.0,228000.0,133000.0,10.9,1989-05-23 13:45:00,,,1,S,,,,AR from LMSAL; Data corrected for spike,1989-05-22 06:30:00,1989-05-25 12:05:00
gsep_034,psep_044,,1989-06-18 15:00:00,,,,,,,,,,,,1989-06-18 16:19:00,1989-06-18 16:22:00,3,57,15,C6.8,5528,FALSE,,18,9.24,2.78,0.92,0.39,265000,115000.0,61900.0,35200.0,10.8,1989-06-18 20:25:00,,,1,P,,,,AR from LMSAL,1989-06-18 03:00:00,1989-06-19 00:00:00
gsep_035,psep_045,,1989-06-20 21:20:00,,,,,,,,,,,,,,,,, ,,,,,1.11,0.62,0.38,0.24,31000,18000.0,11500.0,7010.0,1.41,1989-06-21 01:25:00,,,0,P,,,,,1989-06-20 09:20:00,1989-06-21 08:20:00
gsep_036,psep_046,,1989-06-29 04:45:00,,,,,,,,,,,,1989-06-29 02:54:00,1989-06-29 03:15:00,21,28,28,C7.3,5555,FALSE,,,4.79,,,,92400,,,,4.54,1989-06-29 09:45:00,,,0,P,,,,AR from LMSAL,1989-06-28 16:45:00,1989-06-29 15:35:00
gsep_037,psep_047,,1989-06-29 20:45:00,,,,,,,,,,,,1989-06-29 21:08:00,1989-06-29 21:18:00,10,44,28,M3.7,5555,FALSE,,,5.9,,,,196000,,,,3.03,1989-06-30 07:15:00,,,0,S,,,,AR from LMSAL; Data corrected for spike,1989-06-29 08:45:00,1989-06-30 17:25:00
gsep_038,psep_048,,1989-06-30 20:20:00,,,,,,,,,,,,1989-06-30 17:36:00,1989-06-30 17:47:00,11,24,19,M2.1,5569,FALSE,,17,6.59,,,,295000,,,,6.14,1989-07-01 07:20:00,,,1,P,,Spike,,AR from LMSAL; Data corrected for spike,1989-06-30 08:20:00,1989-07-01 21:20:00
gsep_039,psep_049,,1989-07-25 09:05:00,,,,,,,,,,,,1989-07-25 08:39:00,1989-07-25 08:43:00,4,84,25,X2.6,5603,FALSE,,54,31.11,14.71,7.08,3.61,1240000,467000.0,208000.0,102000.0,32.0,1989-07-25 12:20:00,,,1,P,,,,AR from LMSAL,1989-07-24 21:05:00,1989-07-26 01:05:00
gsep_040,psep_050,,1989-08-12 15:30:00,,,,,,,,,,,,1989-08-12 13:57:00,1989-08-12 14:24:00,27,37,-16,X2.6,5629,FALSE,,9200,4749.12,999.31,137.96,21.66,330000000,49100000.0,5110000.0,704000.0,6550.0,1989-08-13 07:05:00,,,1,P,,,,AR from LMSAL,1989-08-12 03:30:00,1989-08-14 17:30:00
gsep_041,,,1989-08-15 06:30:00,,,,,,,,,,,,1989-08-15 01:42:00,1989-08-15 02:17:00,35,73,-16,X1.0,5629,FALSE,,,316,,,,,,,,351.0,1989-08-15 17:25:00,,,0,P,,,,AR & Flare location from Kurt et al. (2004),1989-08-14 18:30:00,1989-08-16 05:25:00
gsep_042,psep_051,,1989-08-16 01:30:00,,,,,,,,,,,,1989-08-16 01:08:00,1989-08-16 01:17:00,9,84,-18,X20,5629,FALSE,,,1090.87,204.32,65.29,28.63,66600000,10800000.0,2630000.0,968000.0,1430.0,1989-08-16 14:25:00,,,0,P,,,,AR from LMSAL,1989-08-15 13:30:00,1989-08-17 07:00:00
gsep_043,psep_052,,1989-08-17 07:05:00,,,,,,,,,,,,1989-08-17 01:32:00,1989-08-17 01:35:00,3,88,-17,X2.9,5629,FALSE,,,755.27,143.04,26.45,6.69,40100000,6940000.0,1270000.0,330000.0,986.0,1989-08-17 09:45:00,,,0,P,Taken by 6,,,AR from LMSAL,1989-08-16 19:05:00,1989-08-19 09:15:00
gsep_044,psep_053,,1989-08-19 19:25:00,,,,,,,,,,,,1989-08-19 19:11:00,1989-08-19 19:46:00,45,125,-18,,5645,FALSE,,,229.25,25.81,5.06,1.5,9390000,1250000.0,268000.0,86300.0,285.0,1989-08-20 01:55:00,,,0,P,Taken by 6,,,AR & Flare location from Kurt et al. (2004),1989-08-19 07:25:00,1989-08-20 20:25:00
gsep_045,psep_054,,1989-08-22 05:10:00,,,,,,,,,,,,1989-08-22 02:05:00,1989-08-22 02:08:00,3,-25,-20,C3.4,5652,FALSE,,,21.7,2.75,0.69,0.3,4110000,725000.0,229000.0,105000.0,27.3,1989-08-23 22:45:00,,,0,P,Taken by 6,,,AR from LMSAL,1989-08-21 17:10:00,1989-08-25 16:10:00
gsep_046,psep_055,,1989-08-31 14:15:00,,,,,,,,,,,,1989-08-31 09:32:00,1989-08-31 09:35:00,3,-58,-17,C3.7,5669,FALSE,,,3.91,,,,441000,,,,5.11,1989-09-01 06:40:00,,,0,P,No meanigful ,,,AR from LMSAL,1989-08-31 02:15:00,1989-09-02 00:05:00
gsep_047,psep_056,,1989-09-04 01:10:00,,,,,,,,,,,,1989-09-03 14:28:00,1989-09-03 14:31:00,3,-16,-18,X1.2,5669,FALSE,,44,16.77,,,,1140000,,,,16.9,1989-09-04 09:20:00,,,1,P,,Brief data gap,,AR from LMSAL; Data corrected for spike,1989-09-03 13:10:00,1989-09-05 02:10:00
gsep_048,psep_057,,1989-09-12 13:30:00,,,,,,,,,,,,1989-09-13 03:29:00,1989-09-13 03:38:00,9,-6,16,M3.6,5686,FALSE,,57,25.6,2.08,,,1560000,172000.0,,,32.5,1989-09-13 08:25:00,,,1,P,,Brief data gap,,AR from LMSAL,1989-09-12 01:30:00,1989-09-13 23:30:00
gsep_049,psep_058,,1989-09-29 11:50:00,,,,,,,,,,,,1989-09-29 10:00:00,1989-09-29 10:05:00,5,90,-32,X9.8,5698,FALSE,,4500,2434.72,864.37,340.86,148.18,255000000,71300000.0,22100000.0,8410000.0,2960.0,1989-09-30 02:10:00,,,1,P,Taken by 5,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-09-28 23:50:00,1989-10-01 12:50:00
gsep_050,,,1989-10-06 00:50:00,,,,,,,,,,,,1989-10-05 19:06:00,1989-10-05 19:13:00,7,-39,30,C3.2,5721,FALSE,,22,,,,,,,,,26.0,1989-10-06 04:20:00,,,1,P,,,,AR from LMSAL; Data corrected for spike,1989-10-05 12:50:00,1989-10-06 21:40:00
gsep_051,psep_059,,1989-10-19 12:55:00,,,,,,,,,,,,1989-10-19 12:29:00,1989-10-19 12:39:00,10,-9,-25,X13,5747,FALSE,,40000,33667.42,4602.76,963.04,287.19,811000000,120000000.0,31300000.0,1760000.0,42200.0,1989-10-20 16:00:00,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1989-10-19 00:55:00,1989-10-21 12:30:00
gsep_052,psep_060,,1989-10-22 16:30:00,,,,,,,,,,,,1989-10-22 17:08:00,1989-10-22 17:19:00,11,32,-27,X2.9,5747,FALSE,,,4071.13,805.69,218.41,121.08,278000000,56300000.0,14200000.0,4800000.0,5330.0,1989-10-23 07:15:00,,,0,P,Taken by 6,,,AR & Flare location from Kurt et al. (2004),1989-10-22 04:30:00,1989-10-24 17:30:00
gsep_053,psep_061,,1989-10-24 19:00:00,,,,,,,,,,,,1989-10-24 17:36:00,1989-10-24 17:48:00,12,57,-29,X3.7,5747,FALSE,,,1975.19,421.96,147.68,68.86,147000000,26100000.0,8380000.0,3690000.0,2530.0,1989-10-25 02:10:00,,,0,P,Taken by 6,,,AR & Flare location from Kurt et al. (2004),1989-10-24 07:00:00,1989-10-26 21:00:00
